user_id	playtime_forever	playtime_2weeks	appid
	485		33930
	0		219540
	2322	3	286160
	12		286940
	3		293540
	0		300080
	350		301520
	31		304050
	4		304930
	190		250400
	63		63380
	68		227940
	4453		316010
	147	147	241930
	0		339610
	1290		295110
	0		362300
	0		433850
	0		439700
	10		316390
	154		346110
	0		407530
	41		297000
	560		355840
	92		235540
	11		364470
	1		365720
	75		287920
	137		280790
	706		420290
	4556		359550
	0		623990
	75		442500
	909		444090
	0		596350
	125		474750
	6		495910
	0		479130
	100		273350
	414		504370
	0		319630
	183		531640
	0		550040
	0		8500
	89		563560
	8663	1349	578080
	7		578310
	90		375230
	79		612290
	11		468630
	50		386180
	0		305050
	0		233130
	0		255520
	0		38400
7.65612E+16	5999		4000
	276		420
	70		200210
	3105		236390
	12		243870
	929		223710
	0		224260
	290		253710
	4825	11	263280
	0		367690
	34		273110
	45359		284160
	140		209160
	565		209170
	0		298260
	46		301520
	0		302830
	1113		304930
	23		310370
	45		291480
	67		227940
	1796		327890
	297		331120
	158		346900
	381		349700
	4197		365670
	0		373330
	2706		380600
	0		387970
	133		389570
	10568		352460
	21		392450
	34		558100
	32		560260
7.65612E+16	886		1250
	0		35420
	4		205790
	74506	635	730
	398	398	4920
	3		11020
	39		17080
	17		203290
	148		207230
	238		208090
	990		230410
	85		238960
	189		209870
	28		223710
	167		242720
	777		224260
	146		226320
	0		241640
	55		253710
	2851	10	242760
	619		218620
	7133		271590
	31		273110
	20		282440
	7		291210
	0		300040
	641		301520
	4		304050
	353		304930
	94		224600
	10		310370
	163	112	227940
	0		222900
	57		258160
	1243		215470
	44		335240
	0		339610
	29		346330
	504		349700
	20		355180
	153		355840
	3		356670
	1		360760
	161		365300
	4		373330
	223		386360
	23		291550
	34		287920
	32		299360
	1		407530
	232		239140
	17		436110
	0		244930
	0		444090
	0		596350
	2		461970
	1080		273350
	12		502550
	1		402570
	6		530330
	18		375230
	1		572520
7.65612E+16	1		240
	4570		4000
	248		550
	0		223530
	8845		620
	0		99900
	62		207230
	27		34190
	178		34270
	2777		71250
	32		71340
	753		200940
	892		202530
	0		203650
	470		212480
	3507		213610
	0		229660
	2906		248310
	51		233840
	8466		252950
	12		271590
	90		251570
	1467		261180
	0		329440
	70		274940
	66		333980
	76		334230
	40		341800
	117		326460
	51		312530
	10		418340
	184		431240
	123	10	448510
	970		584400
7.65612E+16	2749		4000
	0		4560
	300		228200
	279		4700
	0		12200
	0		1250
	0		35420
	0		550
	0		223530
	0		41000
	54		564310
	13		40100
	3		8190
	0		35130
	8		70000
	17		104200
	2827		105600
	570		72850
	0		37400
	1		37420
	0		201700
	0		207610
	0		104900
	0		12750
	92		209080
	79355		730
	2		212680
	168		204360
	2		203140
	0		4760
	0		4770
	554		10500
