steam_appid,name,type,initial_price,release_date,score,recommendation,windows,mac,linux,header_image
3980,CivCity: Rome,game,9.99,4/6/07 00:00,67,175,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/3980/header.jpg?t=1447350982
3990,Civilization IVå¨: Warlords,game,4.99,4/6/07 00:00,84,,1,1,0,http://cdn.akamai.steamstatic.com/steam/apps/3990/header.jpg?t=1447350981
4000,Garry's Mod,game,9.99,11/29/06 00:00,,278640,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/4000/header.jpg?t=1485979656
4100,Poker Superstars II,game,9.99,10/5/06 00:00,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/4100/header.jpg?t=1447350914
4230,RACE - The WTCC Game,game,39.99,11/24/06 00:00,,144,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/4230/header.jpg?t=1478078220
4290,RACE: Caterham Expansion,game,4.99,6/22/07 00:00,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/4290/header.jpg?t=1478078209
4300,RoboBlitz,game,9.99,11/7/06 00:00,80,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/4300/header.jpg?t=1447350932
4420,Silverfall,game,9.99,3/20/07 00:00,62,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/4420/header.jpg?t=1447350982
4460,City Life 2008,game,9.99,9/29/08 00:00,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/4460/header.jpg?t=1447351481
4470,Silverfall: Earth Awakening,game,9.99,7/18/08 00:00,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/4470/header.jpg?t=1447351337
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,game,19.99,3/20/07 00:00,82,6265,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/4500/header.jpg?t=1492025191
4520,Full Spectrum Warrior,game,9.99,7/17/07 00:00,80,127,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/4520/header.jpg?t=1471962181
4530,Full Spectrum Warrior: Ten Hammers,game,9.99,7/17/07 00:00,70,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/4530/header.jpg?t=1471962182
4560,Company of Heroes,game,19.99,7/17/07 00:00,93,4442,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/4560/header.jpg?t=1490120065
4570,"Warhammerå¨ 40,000: Dawn of Warå¨ - Game of the Year Edition",game,12.99,8/7/07 00:00,86,2637,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/4570/header.jpg?t=1487588754
4580,"Warhammerå¨ 40,000: Dawn of Warå¨ - Dark Crusade",game,12.99,8/7/07 00:00,87,2079,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/4580/header.jpg?t=1447351078
4700,Medieval II: Total War‰ã¢,game,19.99,11/27/07 00:00,88,6989,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/4700/header.jpg?t=1482257642
4720,Condemned: Criminal Origins,game,529,10/29/12 00:00,78,1076,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/4720/header.jpg?t=1447356915
4760,Rome: Total War‰ã¢ - Collection,game,369,8/28/07 00:00,92,6217,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/4760/header.jpg?t=1447351025
4770,Rome: Total War‰ã¢ - Alexander,game,4.99,8/28/07 00:00,79,323,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/4770/header.jpg?t=1447351029
4800,Heroes of Annihilated Empires,game,14.99,11/22/06 00:00,65,183,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/4800/header.jpg?t=1447350937
4850,Cossacks: Back to War,game,4.99,9/2/10 00:00,60,890,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/4850/header.jpg?t=1447353438
4870,Cossacks: Art of War,game,4.99,8/26/11 00:00,74,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/4870/header.jpg?t=1447354583
4880,Cossacks: European Wars,game,4.99,8/26/11 00:00,74,165,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/4880/header.jpg?t=1447354583
4890,Cossacks II: Battle for Europe,game,4.99,8/26/11 00:00,69,259,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/4890/header.jpg?t=1447354584
4900,Zen of Sudoku,game,4.99,12/14/06 00:00,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/4900/header.jpg?t=1447350947
