steam_appid,name,type,initial_price,release_date,score,recommendation,windows,mac,linux,header_image
444430,Zeus vs Monsters - Math Game for kids,game,5.99,2016-02-18 00:00:00,,,1,1.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/444430/header.jpg?t=1455816058
444620,SpellKnights,game,0.0,2016-07-13 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/444620/header.jpg?t=1469187145
444930,Zaccaria Pinball,game,0.0,2016-06-16 00:00:00,,224.0,1,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/444930/header.jpg?t=1506020208
444970,SPATIAL SOUND CARD,game,9.99,2016-03-13 00:00:00,,,1,1.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/444970/header.jpg?t=1506804165
445040,Sorcery! Part 3,game,9.99,2016-04-05 00:00:00,,,1,1.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/445040/header.jpg?t=1464862325
445140,Smell Of Death,game,9.99,2016-07-04 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/445140/header.jpg?t=1498177915
445220,Avorion,game,17.99,2017-01-23 00:00:00,,2058.0,1,0.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/445220/header.jpg?t=1501602429
445430,Seinarukana -The Spirit of Eternity Sword 2-,game,29.99,2017-01-26 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/445430/header.jpg?t=1485488661
445720,Battle Islands: Commanders,game,0.0,2017-02-14 00:00:00,,695.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/445720/header.jpg?t=1487071381
445870,Phantom Trigger,game,14.99,2017-08-10 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/445870/header.jpg?t=1502385486
445980,Wizard of Legend,game,,2017-05-25 00:00:00,,,1,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/445980/header.jpg?t=1466546471
446120,Bunker Punks,game,14.99,2016-03-30 00:00:00,,174.0,1,1.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/446120/header.jpg?t=1503345674
446240,Trawl,game,6.99,2016-05-13 00:00:00,,,1,1.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/446240/header.jpg?t=1463335646
446380,Sophie's Curse,game,4.99,2016-03-16 00:00:00,,313.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/446380/header.jpg?t=1506105123
446490,Rail Cargo Simulator,game,4.99,2016-06-07 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/446490/header.jpg?t=1465307624
446640,Space Pilgrim Episode IV: Sol,game,1.99,2016-03-04 00:00:00,,209.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/446640/header.jpg?t=1488219461
446790,Diluvion,game,19.99,2017-02-02 00:00:00,66.0,446.0,1,1.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/446790/header.jpg?t=1502874353
447150,APE OUT,game,,2010-07-20 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/447150/header.jpg?t=1489096623
447170,"Destiny's Princess: A War Story, A Love Story",game,15.99,2016-04-05 00:00:00,,125.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/447170/header.jpg?t=1478744812
447690,Dimensional Intersection,game,4.99,2016-10-05 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/447690/header.jpg?t=1478200234
447950,Bad Caterpillar,game,1.99,2016-10-19 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/447950/header.jpg?t=1479401022
447970,Envoy,game,4.99,2016-03-17 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/447970/header.jpg?t=1465585848
448000,Sparkle ZERO,game,4.99,2016-03-14 00:00:00,,237.0,1,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/448000/header.jpg?t=1457989085
448160,WOLFLAME,game,5.99,2016-04-21 00:00:00,,,1,0.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/448160/header.jpg?t=1485316547
